GO_term,description,source,sink,avg_pvalue,avg_pvalue_adj,avg_qvalue
SRC,APOD,GO:0051895,negative regulation of focal adhesion assembly,0.0197115407857904,0.0738697207776114,0.0494689214162716
GHR,MSX2,GO:0060349,bone morphogenesis,0.752534145414431,0.811883132911891,0.543700212731647
MMP9,PARK7,GO:2001267,regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0.00331336061107796,0.020370833555525,0.0136418975695876
NOTCH4,TNMD,GO:0001886,endothelial cell morphogenesis,0.00528219094557074,0.0288903504778155,0.0193472299939809
MSX2,GLI2,GO:0002076,osteoblast development,0.101996775409744,0.226762061770683,0.151857547258058
FUT2,SLC35C1,GO:0036065,fucosylation,0.293852952785373,0.454031171066816,0.304054653051422
PPARG,RARB,GO:0048384,retinoic acid receptor signaling pathway,0.130522799952544,0.265824673063972,0.17801691577929
UBR5,BRCA2,GO:0016574,histone ubiquitination,0.421484486665751,0.592389161711863,0.39670994529408
PKHD1,PPARA,GO:0051898,negative regulation of protein kinase B signaling,0.306454089052834,0.47017641363479,0.314866765611672
DIO2,MAOB,GO:0019336,phenol-containing compound catabolic process,0.00528219094557074,0.0288903504778155,0.0193472299939809
GSTP1,AGER,GO:0071605,monocyte chemotactic protein-1 production,0.144904219000033,0.287468127598989,0.19251105952721
HTR6,HTR2A,GO:0098664,G protein-coupled serotonin receptor signaling pathway,0.0680394336570113,0.17092479797262,0.114464564235395
UNC13C,PICALM,GO:0016188,synaptic vesicle maturation,0.174282133752023,0.323032838919184,0.216327961648551
HMOX1,VDR,GO:0031670,cellular response to nutrient,0.125029329746913,0.263747022607441,0.176625559130278
SLC2A9,ABCG2,GO:0046415,urate metabolic process,0.00528219094557074,0.0288903504778155,0.0193472299939809
RYR2,BCL2,GO:0060402,calcium ion transport into cytosol,0.0338933800191776,0.105509698306796,0.070657515951723
OVOL2,WNT7B,GO:0060711,labyrinthine layer development,0.175631013654757,0.324405729917203,0.217247356444946
MAPK1,P2RX7,GO:0043331,response to dsRNA,0.698263423893651,0.771110909772798,0.51639595489498
UNC5C,CNTF,GO:0010623,programmed cell death involved in cell development,0.0157383588187803,0.0623966258855306,0.0417856430223212
PARP1,P2RX7,GO:1904181,positive regulation of membrane depolarization,0.000196052512469743,0.002214416884141,0.00148294610662231
VEGFA,SPI1,GO:1900744,regulation of p38MAPK cascade,0.15452346949339,0.296275393440564,0.198409091051124
EGFR,HTR2A,GO:0010863,positive regulation of phospholipase C activity,0.246864721128654,0.399099093988084,0.267267853593748
NCSTN,TENM4,GO:0022010,central nervous system myelination,0.0157383588187803,0.0623966258855306,0.0417856430223212
JPH3,TRPM1,GO:0060402,calcium ion transport into cytosol,0.0338933800191776,0.105509698306796,0.070657515951723
ARG2,ST3GAL1,GO:0070233,negative regulation of T cell apoptotic process,0.0157383588187803,0.0623966258855306,0.0417856430223212
PARK7,CAT,GO:0061687,detoxification of inorganic compound,0.317834974957327,0.480378111342835,0.321698617376093
LMOD3,PRKAA1,GO:0048643,positive regulation of skeletal muscle tissue development,0.0070834968205077,0.0354234921575177,0.0237223307653447
SOD1,BFSP2,GO:0045104,intermediate filament cytoskeleton organization,0.673306098714712,0.753714212648936,0.504745770843062
PELI3,ARIH2,GO:0070534,protein K63-linked ubiquitination,0.293857352237274,0.454031171066816,0.304054653051422
MAP2K5,CD33,GO:0032717,negative regulation of interleukin-8 production,0.219088023075904,0.376414066010509,0.252076191102874
FYN,SOD2,GO:0010310,regulation of hydrogen peroxide metabolic process,0.0070834968205077,0.0354234921575177,0.0237223307653447
PTN,TGFB2,GO:2000738,positive regulation of stem cell differentiation,0.455383845738699,0.629677100017675,0.421680854489449
TRAF2,TP53,GO:0034349,glial cell apoptotic process,0.00246636519602111,0.0162612882078838,0.0108898257637243
BRCA2,PLK2,GO:0032465,regulation of cytokinesis,0.727852421383439,0.793758934171111,0.531562836905634
CHRM1,HTR2A,GO:0098664,G protein-coupled serotonin receptor signaling pathway,0.0680394336570113,0.17092479797262,0.114464564235395
PIK3CG,STK3,GO:0097284,hepatocyte apoptotic process,0.00560063863233742,0.0300194230693286,0.020103344985548
IL10,MSH2,GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,0.244549589569867,0.399099093988084,0.267267853593748
CYP2D6,FTO,GO:0070989,oxidative demethylation,0.115677385674952,0.248882903573983,0.166671386721776
ALDH1A2,HCN1,GO:0051289,protein homotetramerization,0.319126681339641,0.481097139651885,0.322180134762947
AGT,SLC7A9,GO:0015807,L-amino acid transport,0.532661036537355,0.674156960572186,0.451468035261421
IL6,LIMS2,GO:0072574,hepatocyte proliferation,0.0108291573008633,0.0479567768000515,0.0321155948327132
PKDCC,ANK3,GO:0043001,Golgi to plasma membrane protein transport,0.246864721128654,0.399099093988084,0.267267853593748
SGK1,HIP1R,GO:0001696,gastric acid secretion,0.00435094534626705,0.0251652071206218,0.0168525837158917
OVOL2,MSX2,GO:0060343,trabecula formation,0.226174629106114,0.38068102004272,0.25493367603018
PIP4K2A,PRKCQ,GO:1900077,negative regulation of cellular response to insulin stimulus,0.125029329746913,0.263747022607441,0.176625559130278
CASP3,CDK5RAP2,GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,0.628100319794579,0.724712228083921,0.485323781965077
FGF10,CHRM1,GO:0046541,saliva secretion,0.045115966472311,0.127031393658427,0.0850701202622221
VEGFA,SEZ6,GO:0090036,regulation of protein kinase C signaling,0.00560063863233742,0.0300194230693286,0.020103344985548
PDCD1LG2,AGER,GO:0032693,negative regulation of interleukin-10 production,0.209207991031638,0.363646908939428,0.243526307832571
EMB,BSG,GO:0070593,dendrite self-avoidance,0.0890140265647768,0.205975942160881,0.137937541784879
BCAS3,RDX,GO:0034260,negative regulation of GTPase activity,0.075080617955479,0.183719060287371,0.123032599289068
SRC,YAP1,GO:0070102,interleukin-6-mediated signaling pathway,0.0219410341838372,0.0789770070500024,0.0528891582954651
TLR4,GRN,GO:0090594,inflammatory response to wounding,0.00331336061107796,0.020370833555525,0.0136418975695876
LRP8,CDK5R1,GO:0021819,layer formation in cerebral cortex,0.00964826347178884,0.0442349622314674,0.0296231777708766
EFL1,DIO2,GO:0006414,translational elongation,0.464488441427422,0.640194925871464,0.428724410294912
PNP,RHOA,GO:0046638,positive regulation of alpha-beta T cell differentiation,0.244549589569867,0.399099093988084,0.267267853593748
RAB21,FEZ1,GO:0008089,anterograde axonal transport,0.197756158695495,0.349007360648242,0.233722525493029
LRP8,TMEM106B,GO:1900006,positive regulation of dendrite development,0.00331336061107796,0.020370833555525,0.0136418975695876
TNF,IL10,GO:0031645,negative regulation of nervous system process,0.00560063863233742,0.0300194230693286,0.020103344985548
SLC24A4,PRNP,GO:0050849,negative regulation of calcium-mediated signaling,0.00881986541200165,0.041501936527663,0.0277929307854145
TOM1L2,MAD1L1,GO:0045839,negative regulation of mitotic nuclear division,0.478575834324626,0.640194925871464,0.428724410294912
HIP1R,AP2A2,GO:0072583,clathrin-dependent endocytosis,0.348303772792934,0.515332257060762,0.345106637191123
PARK7,SNCA,GO:0042416,dopamine biosynthetic process,0.000553525213254686,0.00507744891188784,0.00340025545748969
SOD2,LTA,GO:0048147,negative regulation of fibroblast proliferation,0.154140134595542,0.296275393440564,0.198409091051124
TNF,NECTIN2,GO:0002714,positive regulation of B cell mediated immunity,0.125029329746913,0.263747022607441,0.176625559130278
CLU,MAPT,GO:0070841,inclusion body assembly,0.0157383588187803,0.0623966258855306,0.0417856430223212
MEGF10,VDR,GO:1902742,apoptotic process involved in development,0.11583017086279,0.248882903573983,0.166671386721776
ABCB1,ABCG2,GO:0070633,transepithelial transport,0.154140134595542,0.296275393440564,0.198409091051124
LIMK2,ARHGAP24,GO:0120033,negative regulation of plasma membrane bounded cell projection assembly,0.205530710315188,0.360657460719747,0.241524340348456
CPSF6,APP,GO:0006378,mRNA polyadenylation,0.232874995513615,0.389733458287901,0.260995894100892
AKT1,AHCYL1,GO:0010765,positive regulation of sodium ion transport,0.366961287346244,0.532776101992971,0.356788395089558
ADAMTS9,TGFB2,GO:0035909,aorta morphogenesis,0.075080617955479,0.183719060287371,0.123032599289068
MSX2,SLC4A2,GO:0070166,enamel mineralization,0.0405683586718216,0.118235809554652,0.0791799117402518
ALDH1A2,RYR3,GO:0051289,protein homotetramerization,0.319126681339641,0.481097139651885,0.322180134762947
NOTCH1,NTRK2,GO:2000811,negative regulation of anoikis,0.0241002823399399,0.0846236305238033,0.056670577393199
CLU,TENM4,GO:0022010,central nervous system myelination,0.0157383588187803,0.0623966258855306,0.0417856430223212
TLR2,IL10,GO:0032621,interleukin-18 production,0.00725087606427079,0.0356556841325609,0.0238778246056624
REEP3,TARDBP,GO:0071763,nuclear membrane organization,0.304326676558458,0.467633590041353,0.313163892781032
CHRM3,HTR2A,GO:0014829,vascular associated smooth muscle contraction,0.0255613833357577,0.0875711308237231,0.0586444532814014
TLR4,IL10,GO:0045346,regulation of MHC class II biosynthetic process,0.0290335206619672,0.0942111380423549,0.0630911195452533
AGT,GABBR1,GO:0051957,positive regulation of amino acid transport,0.0219410341838372,0.0789770070500024,0.0528891582954651
SRC,PLCG2,GO:0002223,stimulatory C-type lectin receptor signaling pathway,0.0108291573008633,0.0479567768000515,0.0321155948327132
SALL1,BCL2,GO:0001658,branching involved in ureteric bud morphogenesis,0.331859554091872,0.496862349143138,0.332737747560507
HIP1R,LRP1,GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,0.0547889763815444,0.146701092073381,0.0982424831049156
TLR4,PLCG2,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,0.00528219094557074,0.0288903504778155,0.0193472299939809
FAM47E,AUTS2,GO:0031062,positive regulation of histone methylation,0.406952927356409,0.579004454559215,0.387746502365853
NOTCH1,PKD1L1,GO:0060972,left/right pattern formation,0.192542879727241,0.345580766779852,0.231427811217458
SORD,RPTOR,GO:0044275,cellular carbohydrate catabolic process,0.304326676558458,0.467633590041353,0.313163892781032
SRC,SORL1,GO:1900078,positive regulation of cellular response to insulin stimulus,0.0186708153280529,0.0713898360403373,0.0478081973483013
AUP1,PRKAA1,GO:0034389,lipid droplet organization,0.331534763830816,0.496628294600227,0.332581006399602
MAPK7,ACE,GO:0034616,response to laminar fluid shear stress,0.000852649428495685,0.00702646459006752,0.00470546823490382
CR1,P2RX7,GO:0006862,nucleotide transport,0.219088023075904,0.376414066010509,0.252076191102874
KIAA1217,MTHFD1L,GO:0048706,embryonic skeletal system development,0.914819553240126,0.93140668034947,0.623742494106774
GRN,TMEM106B,GO:0007042,lysosomal lumen acidification,0.0405683586718216,0.118235809554652,0.0791799117402518
CST3,FLT4,GO:0060312,regulation of blood vessel remodeling,0.174282133752023,0.323032838919184,0.216327961648551
DAG1,CEP57,GO:0034453,microtubule anchoring,0.226174629106114,0.38068102004272,0.25493367603018
APOC1,SOAT1,GO:0034379,very-low-density lipoprotein particle assembly,0.0218135910100526,0.0789770070500024,0.0528891582954651
FANCD2,MSH2,GO:0031573,mitotic intra-S DNA damage checkpoint signaling,0.293852952785373,0.454031171066816,0.304054653051422
FGF10,HESX1,GO:0071600,otic vesicle morphogenesis,0.128990064060952,0.265639335558287,0.177892799342843
ESR1,CYP17A1,GO:0008209,androgen metabolic process,0.11932386121109,0.253708433357586,0.169902937499876
NAV2,G3BP1,GO:0071103,DNA conformation change,0.810104748369562,0.849435816536891,0.568848416023331
SNCA,SLC6A3,GO:0042416,dopamine biosynthetic process,0.000553525213254686,0.00507744891188784,0.00340025545748969
PARP1,AGT,GO:0010613,positive regulation of cardiac muscle hypertrophy,0.192230163035121,0.345580766779852,0.231427811217458
NOTCH1,EFNA5,GO:0071372,cellular response to follicle-stimulating hormone stimulus,0.174282133752023,0.323032838919184,0.216327961648551
RELN,SYBU,GO:0060074,synapse maturation,0.0338933800191776,0.105509698306796,0.070657515951723
EGFR,HBEGF,GO:0038128,ERBB2 signaling pathway,0.00435094534626705,0.0251652071206218,0.0168525837158917
PARP1,TNF,GO:0070266,necroptotic process,0.164942373626622,0.312399689978337,0.209207176517307
BACE1,CSMD1,GO:0001964,startle response,0.0186708153280529,0.0713898360403373,0.0478081973483013
ACHE,CHRNA2,GO:0007271,synaptic transmission cholinergic,0.0386210892145194,0.114083137278961,0.0763989587826508
ALDH1A2,SOD2,GO:0051289,protein homotetramerization,0.319126681339641,0.481097139651885,0.322180134762947
RPSA,EIF3E,GO:0002181,cytoplasmic translation,0.998197513521798,0.999384027801753,0.669265423174387
IL6,SPI1,GO:0070102,interleukin-6-mediated signaling pathway,0.0219410341838372,0.0789770070500024,0.0528891582954651
PTK2B,IGF1,GO:0048599,oocyte development,0.306454089052834,0.47017641363479,0.314866765611672
LTA,MSH2,GO:0002714,positive regulation of B cell mediated immunity,0.125029329746913,0.263747022607441,0.176625559130278
TNF,BIN1,GO:1903523,negative regulation of blood circulation,0.0884467888302084,0.205975942160881,0.137937541784879
MAPK1,TP53,GO:0051972,regulation of telomerase activity,0.348303772792934,0.515332257060762,0.345106637191123
UNC5C,DCC,GO:0038007,netrin-activated signaling pathway,0.128990064060952,0.265639335558287,0.177892799342843
PARP1,TP53,GO:0045980,negative regulation of nucleotide metabolic process,0.0186708153280529,0.0713898360403373,0.0478081973483013
VEGFA,ESR1,GO:0060749,mammary gland alveolus development,0.0345210266223321,0.106062564822355,0.0710277584533052
TST,SRR,GO:0009069,serine family amino acid metabolic process,0.261030618454693,0.418216447393715,0.280070323176074
PNP,TP53,GO:0072524,pyridine-containing compound metabolic process,0.746267444285895,0.807189751806531,0.540557159006338
BCL3,GAPDH,GO:0019730,antimicrobial humoral response,0.904440085038588,0.923550180358073,0.61848116948567
HFE,IL6,GO:0002369,T cell cytokine production,0.0902935518491075,0.208411621264863,0.139568662316022
DOCK4,BIN1,GO:0045932,negative regulation of muscle contraction,0.0186708153280529,0.0713898360403373,0.0478081973483013
FGF1,SPRY2,GO:0060602,branch elongation of an epithelium,0.00435094534626705,0.0251652071206218,0.0168525837158917
FTO,NEK10,GO:0003016,respiratory system process,0.232874995513615,0.389733458287901,0.260995894100892
TSPO,RBCK1,GO:0010939,regulation of necrotic cell death,0.421484486665751,0.592389161711863,0.39670994529408
PLA2R1,LRP1,GO:0032429,regulation of phospholipase A2 activity,0.151298089574326,0.292633037922933,0.195969885961744
AKT1,PCK1,GO:0034637,cellular carbohydrate biosynthetic process,0.556097141460226,0.684492078187762,0.458389235392826
PMAIP1,HRK,GO:0090200,positive regulation of release of cytochrome c from mitochondria,0.0255613833357577,0.0875711308237231,0.0586444532814014
PPARA,NOS3,GO:0045776,negative regulation of blood pressure,0.186574158922583,0.339518901545539,0.22736831387869
BMPER,HMOX1,GO:0002043,blood vessel endothelial cell proliferation involved in sprouting angiogenesis,0.26895514072813,0.42720147486357,0.286087397738565
REST,CYP21A2,GO:0006704,glucocorticoid biosynthetic process,0.0767841761331909,0.186304322008763,0.124763891997227
MAF,WNT7B,GO:0070306,lens fiber cell differentiation,0.075080617955479,0.183719060287371,0.123032599289068
HTR2C,PTK2B,GO:0019934,cGMP-mediated signaling,0.075080617955479,0.183719060287371,0.123032599289068
GHR,IGF1,GO:0048009,insulin-like growth factor receptor signaling pathway,0.0902935518491075,0.208411621264863,0.139568662316022
MAPT,DAG1,GO:1902473,regulation of protein localization to synapse,0.0070834968205077,0.0354234921575177,0.0237223307653447
HTR2C,APOE,GO:0019934,cGMP-mediated signaling,0.075080617955479,0.183719060287371,0.123032599289068
A2M,CR1,GO:0045916,negative regulation of complement activation,0.00725087606427079,0.0356556841325609,0.0238778246056624
ACHE,GLI2,GO:0002076,osteoblast development,0.101996775409744,0.226762061770683,0.151857547258058
PPARD,F2,GO:0010712,regulation of collagen metabolic process,0.15452346949339,0.296275393440564,0.198409091051124
HCN1,VEGFA,GO:0001754,eye photoreceptor cell differentiation,0.186574158922583,0.339518901545539,0.22736831387869
FGF10,PID1,GO:0070344,regulation of fat cell proliferation,0.000340654649501219,0.00343921200934792,0.00230316436604014
SOD1,CTHRC1,GO:0060122,inner ear receptor cell stereocilium organization,0.154140134595542,0.296275393440564,0.198409091051124
PARK7,HSPA5,GO:0097501,stress response to metal ion,0.341618220755253,0.507222621398381,0.339675793198837
ACE,TACR3,GO:0045777,positive regulation of blood pressure,0.192230163035121,0.345580766779852,0.231427811217458
MTMR2,CDK5,GO:0032801,receptor catabolic process,0.0982641658746686,0.222488722113451,0.148995786018631
BCL2,MSH2,GO:0010224,response to UV-B,0.0890140265647768,0.205975942160881,0.137937541784879
CBLC,SRCIN1,GO:0061099,negative regulation of protein tyrosine kinase activity,0.331534763830816,0.496628294600227,0.332581006399602
TNRC6C,PAIP1,GO:1900151,regulation of nuclear-transcribed mRNA catabolic process deadenylation-dependent decay,0.497675092858021,0.657176337623939,0.440096486900556
PLCG2,P2RX7,GO:0060907,positive regulation of macrophage cytokine production,0.0620662637882844,0.16120823405098,0.107957595858963
IRGC,HTRA2,GO:0035458,cellular response to interferon-beta,0.455383845738699,0.629677100017675,0.421680854489449
SEZ6,SYBU,GO:0060074,synapse maturation,0.0338933800191776,0.105509698306796,0.070657515951723
PSEN1,SPI1,GO:0043011,myeloid dendritic cell differentiation,0.0345210266223321,0.106062564822355,0.0710277584533052
PSEN1,APP,GO:1990535,neuron projection maintenance,0.00370596903479874,0.0222735916709208,0.0149161326782875
CTSD,TAP2,GO:0002478,antigen processing and presentation of exogenous peptide antigen,0.246864721128654,0.399099093988084,0.267267853593748
IAPP,LRRK2,GO:0010738,regulation of protein kinase A signaling,0.0290335206619672,0.0942111380423549,0.0630911195452533
GAB2,NECTIN2,GO:0033005,positive regulation of mast cell activation,0.388313271336763,0.556783815126838,0.372865830632859
IL34,TREM2,GO:1905523,positive regulation of macrophage migration,0.0791304324606602,0.190352113336619,0.127474608499189
ECE1,DIO2,GO:0042447,hormone catabolic process,0.000553525213254686,0.00507744891188784,0.00340025545748969
CAT,LRAT,GO:0033189,response to vitamin A,0.00331336061107796,0.020370833555525,0.0136418975695876
SLC2A9,SLC16A9,GO:0046415,urate metabolic process,0.00528219094557074,0.0288903504778155,0.0193472299939809
SLC24A4,CNGB1,GO:0009583,detection of light stimulus,0.814154818914028,0.853378988856375,0.571489071484729
PRKCQ,SRC,GO:0051972,regulation of telomerase activity,0.348303772792934,0.515332257060762,0.345106637191123
LDLR,LRP1,GO:1905165,regulation of lysosomal protein catabolic process,0.0218135910100526,0.0789770070500024,0.0528891582954651
EGR2,DAG1,GO:0031643,positive regulation of myelination,0.0241002823399399,0.0846236305238033,0.056670577393199
HAVCR2,IL33,GO:0032753,positive regulation of interleukin-4 production,0.0255613833357577,0.0875711308237231,0.0586444532814014
TRIP4,ASCC2,GO:0032790,ribosome disassembly,0.151298089574326,0.292633037922933,0.195969885961744
AKT1,PPARA,GO:0031998,regulation of fatty acid beta-oxidation,0.0345210266223321,0.106062564822355,0.0710277584533052
NAV2,NRP1,GO:0021783,preganglionic parasympathetic fiber development,0.00246636519602111,0.0162612882078838,0.0108898257637243
CR1,TNF,GO:0002922,positive regulation of humoral immune response,0.0620662637882844,0.16120823405098,0.107957595858963
BCL2,NIBAN2,GO:0048742,regulation of skeletal muscle fiber development,0.00370596903479874,0.0222735916709208,0.0149161326782875
ABCD2,APP,GO:1990535,neuron projection maintenance,0.00370596903479874,0.0222735916709208,0.0149161326782875
GRIN2B,PTGS2,GO:0051968,positive regulation of synaptic transmission glutamatergic,0.055110272832348,0.146761593775756,0.098282999759491
COBL,YAP1,GO:0030903,notochord development,0.317834974957327,0.480378111342835,0.321698617376093
FGF10,MAP4K4,GO:0051549,positive regulation of keratinocyte migration,0.00528219094557074,0.0288903504778155,0.0193472299939809
ABCA7,F13A1,GO:0018149,peptide cross-linking,0.075080617955479,0.183719060287371,0.123032599289068
LRP8,INSIG1,GO:0036315,cellular response to sterol,0.054344946293367,0.146701092073381,0.0982424831049156
AICDA,IL10,GO:0002204,somatic recombination of immunoglobulin genes involved in immune response,0.244549589569867,0.399099093988084,0.267267853593748
ARG2,PLK2,GO:2000772,regulation of cellular senescence,0.686494445881024,0.765594397422675,0.512701668344722
IL34,MAPK1,GO:1905523,positive regulation of macrophage migration,0.0791304324606602,0.190352113336619,0.127474608499189
MMP3,RAC1,GO:0010310,regulation of hydrogen peroxide metabolic process,0.0070834968205077,0.0354234921575177,0.0237223307653447
AKT1,ABCA7,GO:2000010,positive regulation of protein localization to cell surface,0.0070834968205077,0.0354234921575177,0.0237223307653447
EPG5,SLC19A1,GO:0006862,nucleotide transport,0.219088023075904,0.376414066010509,0.252076191102874
CDK5R1,SEC24B,GO:0021548,pons development,0.0286039492507729,0.0937459059380528,0.0627795638744619
SNCA,HTR2A,GO:0015872,dopamine transport,0.220772518838743,0.376414066010509,0.252076191102874
MDGA2,ABT1,GO:0021515,cell differentiation in spinal cord,0.392350542374632,0.562025946997286,0.376376370632511
INSIG1,SEC24B,GO:0035459,vesicle cargo loading,0.061381639276811,0.160419390592233,0.107429324807446
CASP3,RELB,GO:0071470,cellular response to osmotic stress,0.175631013654757,0.324405729917203,0.217247356444946
TIMP2,ANTXR1,GO:1905048,regulation of metallopeptidase activity,0.0219410341838372,0.0789770070500024,0.0528891582954651
PPARA,RXRA,GO:0032104,regulation of response to extracellular stimulus,0.0295425265634473,0.0950260428903903,0.0636368433339024
LDLR,DAB1,GO:0048712,negative regulation of astrocyte differentiation,0.0125064503869282,0.0532020429158216,0.0356282337672725
IL6R,RORA,GO:0072539,T-helper 17 cell differentiation,0.11932386121109,0.253708433357586,0.169902937499876
NGF,SORT1,GO:0038180,nerve growth factor signaling pathway,0.000553525213254686,0.00507744891188784,0.00340025545748969
PLPP4,MTMR2,GO:0046839,phospholipid dephosphorylation,0.15452346949339,0.296275393440564,0.198409091051124
PARP1,PRKCQ,GO:1904356,regulation of telomere maintenance via telomere lengthening,0.546586710586894,0.676464157351034,0.45301311401552
GRM3,HOMER2,GO:0007216,G protein-coupled glutamate receptor signaling pathway,0.00964826347178884,0.0442349622314674,0.0296231777708766
GHRL,RHOA,GO:0045987,positive regulation of smooth muscle contraction,0.0437310247062749,0.124740262055248,0.0835358000016485
IL6,ESR1,GO:1903799,negative regulation of miRNA maturation,0.00246636519602111,0.0162612882078838,0.0108898257637243
ABCA2,RORA,GO:0036314,response to sterol,0.055110272832348,0.146761593775756,0.098282999759491
RELN,NRP1,GO:0097475,motor neuron migration,0.000852649428495685,0.00702646459006752,0.00470546823490382
DAPK1,IL4I1,GO:0002834,regulation of response to tumor cell,0.00881986541200165,0.041501936527663,0.0277929307854145
SUMO1,MSH2,GO:0032781,positive regulation of ATP-dependent activity,0.15452346949339,0.296275393440564,0.198409091051124
PIN1,PPID,GO:0000413,protein peptidyl-prolyl isomerization,0.0437310247062749,0.124740262055248,0.0835358000016485
MTMR2,MAPK1,GO:2000641,regulation of early endosome to late endosome transport,0.00435094534626705,0.0251652071206218,0.0168525837158917
MTMR2,JAM2,GO:0031642,negative regulation of myelination,0.00370596903479874,0.0222735916709208,0.0149161326782875
SORD,PCK1,GO:0019400,alditol metabolic process,0.411111116324451,0.580577519005739,0.388799948902115
AGT,SYNGAP1,GO:0048169,regulation of long-term neuronal synaptic plasticity,0.0131296581101498,0.0549804433362521,0.0368191892727062
SOD1,RYR3,GO:0071318,cellular response to ATP,0.0241002823399399,0.0846236305238033,0.056670577393199
SNCA,GSK3B,GO:1901984,negative regulation of protein acetylation,0.0703320634949952,0.174822026292787,0.117074452014612
CDON,PLEKHA1,GO:0010171,body morphogenesis,0.186574158922583,0.339518901545539,0.22736831387869
CLOCK,RARB,GO:0002068,glandular epithelial cell development,0.205530710315188,0.360657460719747,0.241524340348456
PNP,SLC16A9,GO:0046415,urate metabolic process,0.00528219094557074,0.0288903504778155,0.0193472299939809
NOTCH4,NRP1,GO:0001569,branching involved in blood vessel morphogenesis,0.192230163035121,0.345580766779852,0.231427811217458
SLC24A4,ANKH,GO:0034505,tooth mineralization,0.0437310247062749,0.124740262055248,0.0835358000016485
SHISA6,PRRT1,GO:2000311,regulation of AMPA receptor activity,0.0186708153280529,0.0713898360403373,0.0478081973483013
PPARG,PPARA,GO:0030730,sequestering of triglyceride,0.00435094534626705,0.0251652071206218,0.0168525837158917
PARK7,PDE8A,GO:1903206,negative regulation of hydrogen peroxide-induced cell death,0.0405683586718216,0.118235809554652,0.0791799117402518
PIK3CG,ARHGAP24,GO:0035020,regulation of Rac protein signal transduction,0.0471770700875902,0.131515841719353,0.0880732561396295
EIF2AK2,MX1,GO:0045071,negative regulation of viral genome replication,0.293857352237274,0.454031171066816,0.304054653051422
CASP3,TP53,GO:0034349,glial cell apoptotic process,0.00246636519602111,0.0162612882078838,0.0108898257637243
PARK7,SLC29A2,GO:0098810,neurotransmitter reuptake,0.075080617955479,0.183719060287371,0.123032599289068
NEDD9,TNF,GO:0045672,positive regulation of osteoclast differentiation,0.0791304324606602,0.190352113336619,0.127474608499189
APOE,ADAMTS18,GO:0010544,negative regulation of platelet activation,0.0290335206619672,0.0942111380423549,0.0630911195452533
IL34,PTK2B,GO:0010758,regulation of macrophage chemotaxis,0.0982641658746686,0.222488722113451,0.148995786018631
IL6,CLDN18,GO:0045779,negative regulation of bone resorption,0.00246636519602111,0.0162612882078838,0.0108898257637243
SRSF12,CELF2,GO:0006376,mRNA splice site selection,0.622533455469495,0.723630489843739,0.484599365743745
PDE4B,SRC,GO:0086103,G protein-coupled receptor signaling pathway involved in heart process,0.317834974957327,0.480378111342835,0.321698617376093
PLCL1,GABRA4,GO:0007214,gamma-aminobutyric acid signaling pathway,0.0295425265634473,0.0950260428903903,0.0636368433339024
IL34,VEGFA,GO:0030224,monocyte differentiation,0.075080617955479,0.183719060287371,0.123032599289068
ERCC1,MME,GO:0090399,replicative senescence,0.00331336061107796,0.020370833555525,0.0136418975695876
IL6,MTHFD1,GO:0001780,neutrophil homeostasis,0.0345210266223321,0.106062564822355,0.0710277584533052
ECE1,NSF,GO:0001921,positive regulation of receptor recycling,0.00528219094557074,0.0288903504778155,0.0193472299939809
UCHL1,NECTIN2,GO:0051654,establishment of mitochondrion localization,0.0338933800191776,0.105509698306796,0.070657515951723
CDK13,GTF2H3,GO:0070816,phosphorylation of RNA polymerase II C-terminal domain,0.221596543948859,0.376414066010509,0.252076191102874
PPP1CC,TP53,GO:0009648,photoperiodism,0.154140134595542,0.296275393440564,0.198409091051124
APOE,RELN,GO:0072578,neurotransmitter-gated ion channel clustering,0.0158531454505639,0.0623966258855306,0.0417856430223212
ARG2,ALDH4A1,GO:0009065,glutamine family amino acid catabolic process,0.0884467888302084,0.205975942160881,0.137937541784879
NOTCH1,ALDH1A2,GO:0001756,somitogenesis,0.408695909059352,0.580577519005739,0.388799948902115
CLPTM1,GLI2,GO:0033081,regulation of T cell differentiation in thymus,0.0884467888302084,0.205975942160881,0.137937541784879
ALDH2,TPH1,GO:0097164,ammonium ion metabolic process,0.0131296581101498,0.0549804433362521,0.0368191892727062
SLC4A2,PPARA,GO:0070166,enamel mineralization,0.0405683586718216,0.118235809554652,0.0791799117402518
CYP7B1,ESR1,GO:0060740,prostate gland epithelium morphogenesis,0.0791304324606602,0.190352113336619,0.127474608499189
SRC,PID1,GO:0071398,cellular response to fatty acid,0.0680394336570113,0.17092479797262,0.114464564235395
PIK3CG,TREM2,GO:0002679,respiratory burst involved in defense response,0.0653596078801984,0.166246871467493,0.11133186011472
SOD1,SOD2,GO:0050665,hydrogen peroxide biosynthetic process,0.0241002823399399,0.0846236305238033,0.056670577393199
EGR2,TENM4,GO:0031643,positive regulation of myelination,0.0241002823399399,0.0846236305238033,0.056670577393199
SOD2,TNF,GO:0045776,negative regulation of blood pressure,0.186574158922583,0.339518901545539,0.22736831387869
